from,to
44494182,89443525
41675246,94461635
26148513,28589045
26148513,55184139
26148513,56126171
26148513,63667219
26148513,69698888
28589045,55184139
28589045,56126171
28589045,63667219
28589045,69698888
55184139,56126171
55184139,63667219
55184139,69698888
56126171,63667219
56126171,69698888
63667219,69698888
10489897,45933937
10489897,66347937
10489897,69885816
10489897,86728020
10489897,95552313
45933937,66347937
45933937,69885816
45933937,86728020
45933937,95552313
66347937,69885816
66347937,86728020
66347937,95552313
69885816,86728020
69885816,95552313
86728020,95552313
43593826,47386598
43593826,56034484
43593826,84931293
47386598,56034484
47386598,84931293
56034484,84931293
27333454,40497988
27333454,43986085
27333454,71448897
27333454,97198776
40497988,43986085
40497988,71448897
40497988,97198776
43986085,71448897
43986085,97198776
71448897,97198776
12382839,13942296
12382839,14013477
12382839,20145131
12382839,22730533
12382839,29056541
12382839,50942276
12382839,59568847
12382839,65181729
12382839,65731292
12382839,70305156
13942296,14013477
13942296,20145131
13942296,22730533
13942296,29056541
13942296,50942276
13942296,59568847
13942296,65181729
13942296,65731292
13942296,70305156
14013477,20145131
14013477,22730533
14013477,29056541
14013477,50942276
14013477,59568847
14013477,65181729
14013477,65731292
14013477,70305156
20145131,22730533
20145131,29056541
20145131,50942276
20145131,59568847
20145131,65181729
20145131,65731292
20145131,70305156
22730533,29056541
22730533,50942276
22730533,59568847
22730533,65181729
22730533,65731292
22730533,70305156
29056541,50942276
29056541,59568847
29056541,65181729
29056541,65731292
29056541,70305156
50942276,59568847
50942276,65181729
50942276,65731292
50942276,70305156
59568847,65181729
59568847,65731292
59568847,70305156
65181729,65731292
65181729,70305156
65731292,70305156
11593534,15422522
11593534,22372749
11593534,35409129
11593534,40994173
11593534,57446206
11593534,57805284
11593534,64631109
11593534,78417424
11593534,81812052
11593534,99169914
15422522,22372749
15422522,35409129
15422522,40994173
15422522,57446206
15422522,57805284
15422522,64631109
15422522,78417424
15422522,81812052
15422522,99169914
22372749,35409129
22372749,40994173
22372749,57446206
22372749,57805284
22372749,64631109
22372749,78417424
22372749,81812052
22372749,99169914
35409129,40994173
35409129,57446206
35409129,57805284
35409129,64631109
35409129,78417424
35409129,81812052
35409129,99169914
40994173,57446206
40994173,57805284
40994173,64631109
40994173,78417424
40994173,81812052
40994173,99169914
57446206,57805284
57446206,64631109
57446206,78417424
57446206,81812052
57446206,99169914
57805284,64631109
57805284,78417424
57805284,81812052
57805284,99169914
64631109,78417424
64631109,81812052
64631109,99169914
78417424,81812052
78417424,99169914
81812052,99169914
30247016,38185276
30247016,52572312
30247016,86278754
30247016,89562352
30247016,89806320
38185276,52572312
38185276,86278754
38185276,89562352
38185276,89806320
52572312,86278754
52572312,89562352
52572312,89806320
86278754,89562352
86278754,89806320
89562352,89806320
12484526,15142528
12484526,20330881
12484526,45099453
12484526,93633333
15142528,20330881
15142528,45099453
15142528,93633333
20330881,45099453
20330881,93633333
45099453,93633333
11233888,14831587
11233888,26451531
11233888,26837950
11233888,85012932
11233888,96783502
11233888,97389029
11233888,98343752
14831587,26451531
14831587,26837950
14831587,85012932
14831587,96783502
14831587,97389029
14831587,98343752
26451531,26837950
26451531,85012932
26451531,96783502
26451531,97389029
26451531,98343752
26837950,85012932
26837950,96783502
26837950,97389029
26837950,98343752
85012932,96783502
85012932,97389029
85012932,98343752
96783502,97389029
96783502,98343752
