"from","to"
77795114,100396
83979631,100396
30407538,113487
65317644,113487
22229355,115283
36428007,115283
95405394,115283
77795114,123956
39124998,123993
64040463,123993
81786442,123993
85149798,123993
91744306,123993
21942067,126480
22926416,126480
30407538,126480
37784142,126480
47834074,126480
58866748,126480
95355210,126480
34513296,141935
34513296,141935
52491248,141935
88585503,141935
97670495,141935
97670495,141935
54143168,144256
77795114,147964
40458265,154244
77795114,159396
90068471,159396
54499417,159685
11213945,165177
39108817,165177
40199761,165869
51442218,165869
56708515,165869
67946093,165869
70318894,165869
79772585,165869
30407538,167990
92625594,168871
51656141,171523
52527527,171523
77795114,172866
26642353,176508
36428007,176508
70233551,176508
85697487,176508
85706014,176508
75167945,177756
77795114,180440
12811381,180632
18797839,180632
20129124,180632
44105450,180632
55662086,180632
58961111,180632
77795114,180632
98146154,180632
42387028,180771
54499417,180771
60689704,180771
66996609,180771
30407538,182908
37784142,182908
48891962,182908
50070388,182908
84670996,182908
64410724,195985
69698888,195985
14817624,197638
28153747,197638
57820559,197638
63638678,197638
90586285,197638
90955050,197638
15410249,205532
17300961,205532
30407538,205532
55360959,205532
65317644,205532
75802831,205532
39613940,209767
58233094,209767
18797839,212030
27742873,212030
41902096,212030
42465713,212030
53181317,212030
77795114,212030
79893241,212030
91680829,212030
92021548,212030
92911885,212030
97794113,212030
14981656,212312
18797839,212312
19361976,212312
19886748,212312
22664974,212312
23400125,212312
25696976,212312
32550572,212312
33359265,212312
33868824,212312
35921193,212312
36424914,212312
38450356,212312
43637207,212312
47506779,212312
52811724,212312
52840341,212312
52862428,212312
56340311,212312
56708515,212312
58041365,212312
59869965,212312
60258070,212312
61570440,212312
68454489,212312
68783781,212312
70305156,212312
71323513,212312
79037330,212312
79772585,212312
81003273,212312
82290374,212312
82532054,212312
98073039,212312
98189454,212312
99235145,212312
13509795,213551
18080421,213551
19361976,213551
23856294,213551
31998234,213551
32193502,213551
43611232,213551
52527527,213551
59869965,213551
60258070,213551
65547188,213551
66601412,213551
68454489,213551
68454489,213551
76167198,213551
78997086,213551
85412481,213551
85623100,213551
89534144,213551
91144009,213551
64567800,223679
52527527,226942
19242451,233204
33581520,233204
93942195,233204
14817624,235955
64833951,236042
68454489,236042
88419861,236042
88585503,242318
27923681,245633
30407538,245633
36428007,245633
91352307,245633
14817624,246393
29123782,246393
55360959,246393
26340893,247205
70305156,247205
97670495,247205
14817624,248261
65722489,248261
58961111,248298
77795114,248298
91680829,248298
54499417,248658
30407538,254937
30407538,256085
77795114,257250
30407538,264253
55360959,264253
90226032,264253
14817624,272487
10162360,273835
26537570,273835
33868824,273835
38231142,273835
68454489,273835
77795114,279621
54143168,282293
43637207,285971
56034484,285971
99531049,285971
68399315,288994
68454489,288994
26340893,302039
70305156,302039
97670495,302039
52527527,314888
23856294,319731
25696976,319731
29453815,319731
52111813,319731
64833951,319731
68625039,319731
70305156,319731
82532054,319731
82532054,319731
89894198,319731
97670495,319731
97670495,319731
77795114,330076
58233094,335792
77795114,341496
18007899,342034
49991169,342034
70318894,342034
70318894,342034
10850486,342079
12568610,342079
14932602,342079
17613163,342079
20960191,342079
25676723,342079
26342005,342079
29767267,342079
32193502,342079
33359265,342079
35098509,342079
37832847,342079
38264207,342079
38793167,342079
39433648,342079
40070800,342079
42677048,342079
45687683,342079
46592945,342079
51397916,342079
52261094,342079
52813611,342079
55187179,342079
57829129,342079
57964589,342079
66938100,342079
67324999,342079
68783781,342079
69643382,342079
69849440,342079
70305156,342079
73307117,342079
73744849,342079
75805942,342079
76343121,342079
77133030,342079
79037330,342079
91744306,342079
95406124,342079
97670495,342079
99494656,342079
99531049,342079
39391756,342103
58233094,342103
14817624,344379
26656453,344379
77795114,352457
36428007,355644
70318894,355644
94921615,355644
30407538,359218
37784142,359218
67165822,359218
14817624,364287
37352343,367118
97670495,367118
22061706,367615
58341008,367615
70318894,367615
55187179,367993
40070800,375438
14817624,388672
46592945,392272
56034484,392272
61143587,392272
70318894,392272
70318894,392272
14817624,397012
78271868,401784
96822852,402462
13561646,404181
18786145,404181
20346140,404181
36428007,404181
44434653,404181
54410438,404181
54581329,404181
54143168,406956
30407538,416961
34437873,416961
62470495,416961
90226032,416961
16431455,423871
22122058,423871
22372749,423871
30407538,423871
47834074,423871
48891962,423871
58866748,423871
73797754,423871
76583498,423871
25395751,424416
39108817,424416
54499417,424416
81733518,424416
85915387,424416
77795114,426912
88352127,426912
65435968,427364
13561646,437204
11213945,449169
17300961,449169
39108817,449169
85478689,449169
91025211,449169
92856880,449169
30407538,451271
68454489,452017
89170517,452017
14817624,453490
55250322,454505
77795114,454980
23856294,458940
29453815,458940
33359265,458940
59869965,458940
68454489,458940
88501063,458940
89487878,458940
91040228,458940
68454489,461684
30407538,462386
