from,to
77795114,83979631
30407538,65317644
22229355,36428007
22229355,95405394
36428007,95405394
39124998,64040463
39124998,81786442
39124998,85149798
39124998,91744306
64040463,81786442
64040463,85149798
64040463,91744306
81786442,85149798
81786442,91744306
85149798,91744306
21942067,22926416
21942067,30407538
21942067,37784142
21942067,47834074
21942067,58866748
21942067,95355210
22926416,30407538
22926416,37784142
22926416,47834074
22926416,58866748
22926416,95355210
30407538,37784142
30407538,47834074
30407538,58866748
30407538,95355210
37784142,47834074
37784142,58866748
37784142,95355210
47834074,58866748
47834074,95355210
58866748,95355210
34513296,34513296
34513296,52491248
34513296,88585503
34513296,97670495
34513296,97670495
34513296,52491248
34513296,88585503
34513296,97670495
34513296,97670495
52491248,88585503
52491248,97670495
52491248,97670495
88585503,97670495
88585503,97670495
97670495,97670495
77795114,90068471
11213945,39108817
40199761,51442218
40199761,56708515
40199761,67946093
40199761,70318894
40199761,79772585
51442218,56708515
51442218,67946093
51442218,70318894
51442218,79772585
56708515,67946093
56708515,70318894
56708515,79772585
67946093,70318894
67946093,79772585
70318894,79772585
51656141,52527527
26642353,36428007
26642353,70233551
26642353,85697487
26642353,85706014
36428007,70233551
36428007,85697487
36428007,85706014
70233551,85697487
70233551,85706014
85697487,85706014
12811381,18797839
12811381,20129124
12811381,44105450
12811381,55662086
12811381,58961111
12811381,77795114
12811381,98146154
18797839,20129124
18797839,44105450
18797839,55662086
18797839,58961111
18797839,77795114
18797839,98146154
20129124,44105450
20129124,55662086
20129124,58961111
20129124,77795114
20129124,98146154
44105450,55662086
44105450,58961111
44105450,77795114
44105450,98146154
55662086,58961111
55662086,77795114
55662086,98146154
58961111,77795114
58961111,98146154
77795114,98146154
42387028,54499417
42387028,60689704
42387028,66996609
54499417,60689704
54499417,66996609
60689704,66996609
30407538,37784142
30407538,48891962
30407538,50070388
30407538,84670996
37784142,48891962
37784142,50070388
37784142,84670996
48891962,50070388
48891962,84670996
50070388,84670996
64410724,69698888
14817624,28153747
14817624,57820559
14817624,63638678
